Specimen_code,Species_name,Provenance,Family,New_tip_label,
RB401,Monanthes dasyphylla,Canary Islands,Crassulaceae,RB401_Monanthes dasyphylla_Canary Islands_Crassulaceae,
K13,Monanthes anagensis,Canary Islands,Crassulaceae,K13_Monanthes anagensis_Canary Islands_Crassulaceae,
K13-2,#N/A,#N/A,#N/A,K13-2_Monanthes anagensis_Canary Islands_Crassulaceae,
RB289,Aichryson bituminosum,Canary Islands,Crassulaceae,RB289_Aichryson bituminosum_Canary Islands_Crassulaceae,
ODN9,Aichryson roseum,Canary Islands,Crassulaceae,ODN9_Aichryson roseum_Canary Islands_Crassulaceae,
ODN12,Aichryson bollei,Canary Islands,Crassulaceae,ODN12_Aichryson bollei_Canary Islands_Crassulaceae,
ODN11,Aichryson pachycaulon,Canary Islands,Crassulaceae,ODN11_Aichryson pachycaulon_Canary Islands_Crassulaceae,
RB285,Aichryson parlatorei,Canary Islands,Crassulaceae,RB285_Aichryson parlatorei_Canary Islands_Crassulaceae,
RB284,Aichryson porphyrogennetos,Canary Islands,Crassulaceae,RB284_Aichryson porphyrogennetos_Canary Islands_Crassulaceae,
RB286,Aichryson laxum,Canary Islands,Crassulaceae,RB286_Aichryson laxum_Canary Islands_Crassulaceae,
RB283,Aichryson tortuosum,Canary Islands,Crassulaceae,RB283_Aichryson tortuosum_Canary Islands_Crassulaceae,
RB283-2,#N/A,#N/A,#N/A,RB283-2_Aichryson tortuosum_Canary Islands_Crassulaceae,
RB296,Aeonium hierrense,Canary Islands,Crassulaceae,RB296_Aeonium hierrense_Canary Islands_Crassulaceae,
RB297,Aeonium escobarii,Canary Islands,Crassulaceae,RB297_Aeonium escobarii_Canary Islands_Crassulaceae,
ODN18,Aeonium dodrantale,Canary Islands,Crassulaceae,ODN18_Aeonium dodrantale_Canary Islands_Crassulaceae,
ODN18-2,#N/A,#N/A,#N/A,ODN18-2_Aeonium dodrantale_Canary Islands_Crassulaceae,
RB1007,Sedum gattefossei,Morocco,Crassulaceae,RB1007_Sedum gattefossei_Morocco_Crassulaceae,
RB1007-2,#N/A,#N/A,#N/A,RB1007-2_Sedum gattefossei_Morocco_Crassulaceae,
RB1012-2,#N/A,#N/A,#N/A,RB1012-2_Sedum anglicum_Spain_Crassulaceae,
RB1012,Sedum anglicum,Spain,Crassulaceae,RB1012_Sedum anglicum_Spain_Crassulaceae,
RB1011-2,#N/A,#N/A,#N/A,RB1011-2_Sedum anglicum_Portugal_Crassulaceae,
RB1011,Sedum anglicum,Portugal,Crassulaceae,RB1011_Sedum anglicum_Portugal_Crassulaceae,
RB788,Umbilicus heylandianus,Spain,Crassulaceae,RB788_Umbilicus heylandianus_Spain_Crassulaceae,
RB106-2,#N/A,#N/A,#N/A,RB106-2_Umbilicus heylandianus_Morocco_Crassulaceae,
RB425,Umbilicus horizontalis,Canary Islands,Crassulaceae,RB425_Umbilicus horizontalis_Canary Islands_Crassulaceae,
RB335,Crassula tillaea,Canary Islands,Crassulaceae,RB335_Crassula tillaea_Canary Islands_Crassulaceae,
RB119,Crassula tillaea,Portugal,Crassulaceae,RB119_Crassula tillaea_Portugal_Crassulaceae,
RB541,Viola odorata,Morocco,Violaceae,RB541_Viola odorata_Morocco_Violaceae,*
RB148,Trifolium arvense,Morocco,Fabaceae,RB148_Trifolium arvense_Morocco_Fabaceae,
RB824,Trifolium arvense,Spain,Fabaceae,RB824_Trifolium arvense_Spain_Fabaceae,
RB444,Trifolium arvense,Canary Islands,Fabaceae,RB444_Trifolium arvense_Canary Islands_Fabaceae,
RB804,Trifolium scabrum,Spain,Fabaceae,RB804_Trifolium scabrum_Spain_Fabaceae,
ODN111,Trifolium scabrum,Canary Islands,Fabaceae,ODN111_Trifolium scabrum_Canary Islands_Fabaceae,
RB823,Trifolium bocconei,Spain,Fabaceae,RB823_Trifolium bocconei_Spain_Fabaceae,
RB458,Trifolium ligusticum,Canary Islands,Fabaceae,RB458_Trifolium ligusticum_Canary Islands_Fabaceae,
RB822,Trifolium striatum,Spain,Fabaceae,RB822_Trifolium striatum_Spain_Fabaceae,
RB199,Trifolium striatum,Spain,Fabaceae,RB199_Trifolium striatum_Spain_Fabaceae,
RB455,Trifolium striatum,Canary Islands,Fabaceae,RB455_Trifolium striatum_Canary Islands_Fabaceae,
RB216,Trifolium stellatum,Morocco,Fabaceae,RB216_Trifolium stellatum_Morocco_Fabaceae,
