species,growth_form,source,,
Cardamine flexuosa,Annual Herbaceous,"F. Lens, unpublished data; 98",,
Cardamine hirsuta,Annual Herbaceous,"F. Lens, unpublished data; 99",,
Carrichtera annua,Annual Herbaceous,"F. Lens, unpublished data; 100",,
Crambe arborea,Insular Woodiness,Zizka et al. 2022,,
Crambe feuilleei,Insular Woodiness,Zizka et al. 2022,,
Crambe gomeraea,Insular Woodiness,Zizka et al. 2022,,
Crambe laevigata,Insular Woodiness,Zizka et al. 2022,,
Crambe microcarpa,Insular Woodiness,Zizka et al. 2022,,
Crambe pritzelii,Insular Woodiness,Zizka et al. 2022,,
Crambe santosii,Insular Woodiness,Zizka et al. 2022,,
Crambe scaberrima,Insular Woodiness,Zizka et al. 2022,,
Crambe scoparia,Insular Woodiness,Zizka et al. 2022,,
Crambe strigosa,Insular Woodiness,Zizka et al. 2022,,
Crambe sventenii,Insular Woodiness,Zizka et al. 2022,,
Crambe tamadabensis,Insular Woodiness,Zizka et al. 2022,,
Crambe wildpretii,Insular Woodiness,Zizka et al. 2022,,
Descurainia artemisioides,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Descurainia bourgaeana,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Descurainia gilva,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Descurainia gonzalezii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Descurainia lemsii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Descurainia millefolia,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Descurainia preauxiana,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Diplotaxis catholica,Annual Herbaceous,"F. Lens, unpublished data; 101",,
Diplotaxis muralis,Annual Herbaceous,"F. Lens, unpublished data; 101",,
Eruca vesicaria,Annual Herbaceous,"F. Lens, unpublished data; 102",,
Erysimum albescens,Insular Woodiness,Moazzeni et al. 2014,,
Erysimum bicolor,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Erysimum scoparium,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Erysimum virescens,Insular Woodiness,Moazzeni et al. 2014,,
Hirschfeldia incana,Annual Herbaceous,"F. Lens, unpublished data; 44",,
Lobularia canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lobularia libyca,Annual Herbaceous,"F. Lens, unpublished data; 103",,
Lobularia maritima,Perennial Herbaceous,"F. Lens, unpublished data; 104",,
Marcus-kochia littorea,Annual Herbaceous,"F. Lens, unpublished data; 105",,
Matthiola bolleana,Annual Herbaceous,"F. Lens, unpublished data; 106",,
Matthiola longipetala,Annual Herbaceous,"F. Lens, unpublished data; 107",,
Matthiola parviflora,Annual Herbaceous,"F. Lens, unpublished data; 108",,
Notoceras bicorne,Annual Herbaceous,"F. Lens, unpublished data; 109",,
