"phylum","order","family","genus","species","num_occurrences","elevation_median","elevation_mad","TRI_median","annual_temp","diurnal_temp_range_median","temp_seasonality","temp_driest_quarter","temp_coldest_quarter","annual_precip","precip_driest_quarter","precip_seasonality","evapotranspiration","evaporation","transpiration","interception","aridity_index","range_size","growth_form"
"Tracheophyta","Rosales","Urticaceae","Forsskaolea","Forsskaolea angustifolia",472,233.086517333984,277.111773203659,35.2016698118566,20.7378398134535,15.7158938679803,275.905300882903,24.1369811758609,17.2211979397443,235.415951553464,0.797962734178306,91.4721082140623,148.172218322891,74.1323089609767,39.2751522065045,5.25425904366297e-14,1.58879953487945,10531.4122835046,"Ancestral Woodiness"
"Tracheophyta","Rosales","Urticaceae","Gesnouinia","Gesnouinia arborea",60,766.333923339844,251.959517706299,110.076777800231,17.6727782726469,12.4066557613968,259.139450146448,21.9095085824835,14.3018315142784,655.181850132576,13.1263695177298,74.5141700236558,609.690460204886,45.8138008117294,559.649047851639,14.6630764007573,1.07461391131559,6390.05466886364,"Insular Woodiness"
"Tracheophyta","Rosales","Urticaceae","Parietaria","Parietaria judaica",83,310.875,345.200570141602,37.7659580594392,20.1527856296767,14.7621947294109,247.221897287479,23.3894226424081,17.068821208615,404.10020763948,4.78110748625514,78.3869946992697,290.236999511484,87.7143478393856,178.988800049823,0.449577212333679,1.39231113992925,7092.94340740449,"Perennial Herbaceous"
"Tracheophyta","Rosales","Urticaceae","Urtica","Urtica membranacea",28,708.444915771484,392.37458286438,89.3933833655896,19.2898184003151,18.3026295304954,294.181719416124,22.961264994552,15.3940060804885,462.293063685353,9.06565251728638,78.0958206963913,595.670898437306,82.832557678231,513.868576049688,3.17174303531648,0.776088046097503,18137.6375356557,"Annual Herbaceous"
"Tracheophyta","Rosales","Urticaceae","Urtica","Urtica morifolia",73,1030.79528808594,252.200177783203,66.3594771427745,16.9245112718517,18.5940513095637,346.354103020968,22.0231164755803,12.463033034165,613.542546441655,7.20183034950323,87.0861394299787,598.893249511723,61.2160720825216,525.759521484222,7.73749637603917,1.02446061454504,18137.6375356557,"Insular Woodiness"
"Tracheophyta","Rosales","Urticaceae","Urtica","Urtica urens",47,471.7392578125,295.354117529297,42.9548331595589,19.2911815124513,15.0664457276347,271.425241772143,23.0381232779036,15.5075785400197,402.364181674964,4.28734518352721,77.8437149220363,304.373535157147,80.5715942382621,232.60104370118,0.61181330680917,1.32194207182705,18137.6375356557,"Annual Herbaceous"
"Tracheophyta","Sapindales","Anacardiaceae","Pistacia","Pistacia atlantica",59,361.96240234375,203.644530084229,60.9048415693248,20.0734231801384,15.9725157017156,288.855628635464,23.918702057474,16.3756135148057,304.556578829906,2.63046973367285,80.876742048421,301.103210449243,89.1806716917801,208.649215697993,0.316767990591675,1.01146905200881,7834.59963820064,"Ancestral Woodiness"
"Tracheophyta","Sapindales","Anacardiaceae","Pistacia","Pistacia lentiscus",48,419.844345092773,176.772834915161,66.5111111487961,20.3455352313939,17.057243369994,286.892671900828,24.4837676989255,16.5968969887004,305.490137488486,0.544845836440897,79.8561225252715,257.240310668742,49.8973445892621,209.191024780252,0.784073650836209,1.18756713010612,7834.59963820064,"Ancestral Woodiness"
"Tracheophyta","Sapindales","Rutaceae","Cneorum","Cneorum pulverulentum",182,119.888408660889,156.712942714405,51.859633071965,21.9482792574796,17.8637754241154,300.280320075547,25.1488000953373,18.3158978791522,212.344503096214,0.92546526803275,91.9778956753482,142.629203796405,101.322860717747,27.6866559982781,0,1.48878699063149,3417.9548474376,"Ancestral Woodiness"
"Tracheophyta","Sapindales","Rutaceae","Ruta","Ruta pinnata",30,605.036682128906,275.632207470703,105.927068098199,18.7432299347665,18.1121942155409,267.639742198291,24.2085765370541,14.8216153504541,328.232349739072,3.47652938396729,86.558158182161,476.44032287578,109.118072509773,378.248962402251,4.2208104133606,0.688926469862733,2588.6372439922,"Ancestral Woodiness"
"Tracheophyta","Saxifragales","Crassulaceae","Aeonium","Aeonium arboreum",585,535.071105957031,400.740970495605,65.9840057115657,19.1648152615806,17.0972437623427,290.703379153879,23.1742960937777,15.2772404891504,407.266575063655,4.63438648980204,82.8022837915609,376.077758788547,76.0923690796041,266.033752441252,1.23567032813647,1.08293182871429,9240.69878951689,"Insular Woodiness"
"Tracheophyta","Saxifragales","Crassulaceae","Aeonium","Aeonium aureum",151,1179.13952636719,506.990742993164,90.2582576205906,16.7116966752321,18.964476295181,347.174145363882,22.1814663826875,12.2480433241186,580.016418603972,6.15825013533929,84.7126672496931,392.830535888388,69.0791091919143,312.050994872732,1.58960831165363,1.47650542820522,9240.69878951689,"Perennial Herbaceous"
"Tracheophyta","Saxifragales","Crassulaceae","Aeonium","Aeonium canariense",367,578.976257324219,200.144665649414,102.688643789731,18.5156498897457,12.8824560649193,245.852262512474,22.0934263465445,15.2445193393502,459.179957082077,10.8867344730562,73.6895508499652,455.950744628906,58.8439292907633,393.985198974609,2.795178890238,1.00708237126753,9240.69878951689,"Perennial Herbaceous"
"Tracheophyta","Saxifragales","Crassulaceae","Aeonium","Aeonium castello-paivae",60,694.732757568359,299.260375799561,100.290398864875,17.9757107840809,15.9326635269983,267.300162182668,21.9565844077209,14.5187162537097,454.152414640874,8.42245886752203,86.2732279706507,578.795440674129,78.0096321106654,475.304473877316,3.82476305962109,0.784650988459616,9240.69878951689,"Insular Woodiness"
"Tracheophyta","Saxifragales","Crassulaceae","Aeonium","Aeonium ciliatum",82,672.336090087891,141.429941235352,97.7572557939429,17.9427060456897,10.9802193928922,248.908936595148,21.7381301426098,14.5296581673673,536.945612038925,15.5769279037395,71.2352854890813,510.239242553431,34.0906219482507,474.397796630703,8.92090225220445,1.05234087709884,9240.69878951689,"Insular Woodiness"
"Tracheophyta","Saxifragales","Crassulaceae","Aeonium","Aeonium cuneatum",49,754.293090820312,99.5222397216797,104.49265464377,17.5982970630349,9.33243889225274,229.667321018958,20.571682615173,14.4974514854398,423.944138264157,13.2513581109223,71.3548762233939,527.014282226556,23.1555385589557,491.328674316682,11.9205636978144,0.804426279441719,9240.69878951689,"Perennial Herbaceous"
"Tracheophyta","Saxifragales","Crassulaceae","Aeonium","Aeonium davidbramwellii",82,530.667449951172,224.791239193726,63.2206074773736,19.1865099504393,16.5295848201485,313.170398309476,23.2481774465093,15.4407068541397,467.314151963261,2.45759811895836,86.2139803633409,183.095787048377,36.5125274658209,127.72394943239,0.859217673539463,2.55229330776349,9240.69878951689,"Insular Woodiness"
